business_id,name,city,state,search_category,ClosureRiskScore,RiskBucket,RiskProfile,PrimaryRiskDriver,EngagementRisk,RatingRiskComponent,PriceRiskComponent,CompetitionRisk,rating,review_count,price_level,MarketDensity,latitude,longitude
cs6HfZNykLVitm09jWFqWg,Moonshine Grill,Austin,TX,restaurants,-0.9014226022465384,Low Risk,Crowded Market Risk,CompetitionRisk,-2.473343050493542,-0.5352067869990867,-0.5971405714935247,0.0,4.4,6314,2.0,200,30.26375388334444,-97.738076861816
He2KYtXXfaIR0nkCXH5xiQ,Loro Asian Smokehouse & Bar,Austin,TX,restaurants,-0.5328335556586443,Low Risk,Crowded Market Risk,CompetitionRisk,-1.4237541554110835,-0.11043949572996915,-0.5971405714935247,0.0,4.3,2497,2.0,200,30.24773956571551,-97.77135488952511
Rba9Ol4jnTiov6_iAuoF5g,1618 Asian Fusion,Austin,TX,restaurants,-1.0805042026435836,Low Risk,Crowded Market Risk,CompetitionRisk,-1.9153675782743773,-1.8095086608064321,-0.5971405714935247,0.0,4.7,3856,2.0,200,30.245474,-97.730411
BHZ9puL8YuHE-YEdkmxH-g,Canje,Austin,TX,restaurants,0.06846134477377624,Medium Risk,Lower Relative Risk,PriceRiskComponent,0.23858517154076453,-0.9599740782682007,0.9952342858225411,0.0,4.5,574,3.0,200,30.26177,-97.72232
YZs1gNSh_sN8JmN_nrpxeA,Terry Black's Barbecue,Austin,TX,restaurants,-1.0882336009748326,Low Risk,Crowded Market Risk,CompetitionRisk,-2.795819754137605,-0.9599740782682007,-0.5971405714935247,0.0,4.5,8396,2.0,200,30.2596915716907,-97.7548013627529
KIHoGUfCOLhBFQVSAN4QSg,Suerte,Austin,TX,restaurants,0.05399211855742497,Medium Risk,Lower Relative Risk,PriceRiskComponent,-0.6688263158628721,-0.11043949572996915,0.9952342858225411,0.0,4.3,1281,3.0,200,30.26228,-97.72331
fTpp8kuKOITj1KSEz9UG2Q,Qi Austin,Austin,TX,restaurants,-0.3343599054290817,Low Risk,High-End / Niche Risk,CompetitionRisk,-0.20509226322371543,-0.5352067869990867,-0.5971405714935247,0.0,4.4,850,2.0,200,30.27058605281438,-97.75251467522534
AcFt364BrHyMu3VrSCKMOw,Salty Sow,Austin,TX,restaurants,-0.22154567418316512,Low Risk,Lower Relative Risk,PriceRiskComponent,-1.7709774868252324,-0.11043949572996915,0.9952342858225411,0.0,4.3,3394,3.0,200,30.2836497259461,-97.7213180065155
uPWJtYJi76EniU0xrX-zbA,Odd Duck,Austin,TX,restaurants,-0.22937257412092993,Low Risk,Lower Relative Risk,PriceRiskComponent,-1.377517795307174,-0.5352067869990867,0.9952342858225411,0.0,4.4,2397,3.0,200,30.25452,-97.762064
XOo0oa5sXCZGjKXapIN95w,Red Ash,Austin,TX,restaurants,0.3016507473299063,High Risk,Lower Relative Risk,PriceRiskComponent,-0.8457993668198948,-0.5352067869990867,2.587609143138607,0.0,4.4,1498,4.0,200,30.26588,-97.744672
4sfF1paqVfXvzAIdzs6MQg,Uchiko Austin,Austin,TX,restaurants,0.06501790750222802,Medium Risk,Lower Relative Risk,PriceRiskComponent,-1.367563434861494,-0.9599740782682007,2.587609143138607,0.0,4.5,2376,4.0,200,30.31078344245359,-97.7399856448906
J8Ha6yIvGoU-E31jnCq7Ew,Barley Swine,Austin,TX,restaurants,0.3452327074602521,High Risk,Lower Relative Risk,PriceRiskComponent,-0.6714715262985117,-0.5352067869990867,2.587609143138607,0.0,4.4,1284,4.0,200,30.3412737661652,-97.7383886364151
P2fi7qugfLPOFSxscpaAxg,Anthem,Austin,TX,restaurants,-0.31687489285256837,Low Risk,High-End / Niche Risk,CompetitionRisk,-0.13515221291766197,-0.5352067869990867,-0.5971405714935247,0.0,4.4,799,2.0,200,30.2603388,-97.738071
bZiIIUcpgxh8mpKMDhdqbA,Hopdoddy Burger Bar,Austin,TX,restaurants,-0.6427546981839598,Low Risk,Crowded Market Risk,RatingRiskComponent,-2.2882060167814595,0.3143277955391447,-0.5971405714935247,0.0,4.2,5361,2.0,200,30.249599774821025,-97.74996767434698
GwAFL29gpnEIjAG9MauMig,Aba,Austin,TX,restaurants,-0.14217851432339157,Medium Risk,Lower Relative Risk,PriceRiskComponent,-1.0287415561170206,-0.5352067869990867,0.9952342858225411,0.0,4.4,1761,3.0,200,30.25357,-97.74803
28RuK9yoG0k0LLGM7fqKQQ,Lin Asian Bar And Dim Sum,Austin,TX,restaurants,0.16284471807655806,Medium Risk,Lower Relative Risk,PriceRiskComponent,-0.6581832090554536,0.3143277955391447,0.9952342858225411,0.0,4.2,1269,3.0,200,30.27281,-97.75799
zFaHweOJ40jjtvpGTjlspw,Uchi Austin,Austin,TX,restaurants,0.09190733343257174,Medium Risk,Lower Relative Risk,PriceRiskComponent,-1.684773022409233,-0.5352067869990867,2.587609143138607,0.0,4.4,3145,4.0,200,30.25753918349428,-97.75979576540756
-IIvmjoEKa9Trhf4OxzJeA,Caroline,Austin,TX,restaurants,-0.2990054597072872,Low Risk,Crowded Market Risk,RatingRiskComponent,-0.9132090628747687,0.3143277955391447,-0.5971405714935247,0.0,4.2,1590,2.0,200,30.2688377,-97.7423301
wKQNqpvphl0zGCv9JuIN8Q,J Carver’s,Austin,TX,restaurants,0.6783452782076269,High Risk,Lower Relative Risk,PriceRiskComponent,1.0857460479601015,-0.9599740782682007,2.587609143138607,0.0,4.5,271,4.0,200,30.26954398783698,-97.74950906575312
feNjLEC9gZ5QdPlQ05SDwQ,Hestia,Austin,TX,restaurants,-0.02837696246504398,Medium Risk,High-End / Niche Risk,EngagementRisk,0.594072217363318,-0.11043949572996915,-0.5971405714935247,0.0,4.3,419,,200,30.266775,-97.74998
MGzro82Fi4LYvc86acoONQ,Franklin Barbecue,Austin,TX,restaurants,-1.0100234694541268,Low Risk,Crowded Market Risk,CompetitionRisk,-2.482979228054782,-0.9599740782682007,-0.5971405714935247,0.0,4.5,6368,2.0,200,30.2701348,-97.7313451068641
v1UzkU8lEWdjxq8byWFOKg,Gus's World Famous Fried Chicken - Austin,Austin,TX,restaurants,-0.6213012268918334,Low Risk,Crowded Market Risk,CompetitionRisk,-1.77762484034384,-0.11043949572996915,-0.5971405714935247,0.0,4.3,3414,2.0,200,30.2634862,-97.7417305
wB1qckz9iC0aq5XuWRmCIA,Jewboy Burgers,Austin,TX,restaurants,-0.7359547691604273,Low Risk,High-End / Niche Risk,CompetitionRisk,-0.9619371356108702,-1.3847413695373145,-0.5971405714935247,0.0,4.6,1660,2.0,200,30.3127408,-97.71508227214272
qkpTiGcJbkNKgmCj4rmkkQ,Bouldin Creek Cafe,Austin,TX,restaurants,-0.8023525415116897,Low Risk,Crowded Market Risk,CompetitionRisk,-1.6522955162850335,-0.9599740782682007,-0.5971405714935247,0.0,4.5,3056,2.0,200,30.24646,-97.75677
